,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,name,sp_attack,sp_defense,speed,type1,type2,weight_kg,is_legendary
69,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,1.2,50,1059860,1.0,65,Weepinbell,85,45,55,grass,poison,6.4,0
70,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,0.45,65,1059860,1.7,80,Victreebel,100,70,70,grass,poison,15.5,0
71,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,1.9,35,1250000,0.9,40,Tentacool,50,100,70,water,poison,45.5,0
72,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,0.6,65,1250000,1.6,80,Tentacruel,80,120,100,water,poison,55.0,0
73,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,2.55,100,1059860,0.0,40,Geodude,30,30,20,rock,ground,0.0,0
74,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,1.2,115,1059860,0.0,55,Graveler,45,45,35,rock,ground,0.0,0
75,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,0.45,130,1059860,0.0,80,Golem,55,65,45,rock,ground,0.0,0
76,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,1.9,55,1000000,1.0,50,Ponyta,65,65,90,fire,none,30.0,0
77,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,0.6,70,1000000,1.7,65,Rapidash,80,80,105,fire,none,95.0,0
78,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,5120,70,315,1.9,65,1000000,1.2,90,Slowpoke,40,40,15,water,psychic,36.0,0
79,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,590,0.75,180,1000000,1.6,95,Slowbro,130,80,30,water,psychic,78.5,0
80,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,5120,70,325,1.9,70,1000000,0.3,25,Magnemite,95,55,45,electric,steel,6.0,0
81,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,5120,70,465,0.6,95,1000000,1.0,50,Magneton,120,70,70,electric,steel,60.0,0
82,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,5120,70,377,0.45,55,1000000,0.8,52,Farfetch'd,58,62,60,normal,flying,15.0,0
83,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,5120,70,310,1.9,45,1000000,1.4,35,Doduo,35,35,75,normal,flying,39.2,0
84,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,5120,70,470,0.45,70,1000000,1.8,60,Dodrio,60,60,110,normal,flying,85.2,0
85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120,70,325,1.9,55,1000000,1.1,65,Seel,45,70,45,water,none,90.0,0
86,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,5120,70,475,0.75,80,1000000,1.7,90,Dewgong,70,95,70,water,ice,120.0,0
87,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,5120,70,325,1.9,50,1000000,0.0,80,Grimer,40,50,25,poison,poison,0.0,0
88,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,5120,70,500,0.75,75,1000000,0.0,105,Muk,65,100,50,poison,poison,0.0,0
89,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,305,1.9,100,1250000,0.3,30,Shellder,45,25,40,water,none,4.0,0
90,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,5120,70,525,0.6,180,1250000,1.5,50,Cloyster,85,45,70,water,ice,132.5,0
91,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,5120,70,310,1.9,30,1059860,1.3,30,Gastly,100,35,80,ghost,poison,0.1,0
92,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,5120,70,405,0.9,45,1059860,1.6,45,Haunter,115,55,95,ghost,poison,0.1,0
93,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,5120,70,600,0.45,80,1059860,1.5,60,Gengar,170,95,130,ghost,poison,40.5,0
94,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,6400,70,385,0.45,160,1000000,8.8,35,Onix,30,45,70,rock,ground,210.0,0
95,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,5120,70,328,1.9,45,1000000,1.0,60,Drowzee,43,90,42,psychic,none,32.4,0
96,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,5120,70,483,0.75,70,1000000,1.6,85,Hypno,73,115,67,psychic,none,75.6,0
97,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,325,2.25,90,1000000,0.4,30,Krabby,25,25,50,water,none,6.5,0
98,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,5120,70,475,0.6,115,1000000,1.3,55,Kingler,50,50,75,water,none,60.0,0
99,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,5120,70,330,1.9,50,1000000,0.5,40,Voltorb,55,55,100,electric,none,10.4,0
100,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,5120,70,490,0.6,70,1000000,1.2,60,Electrode,80,80,150,electric,none,66.6,0
101,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,5120,70,325,0.9,80,1250000,0.4,60,Exeggcute,60,45,40,grass,psychic,2.5,0
102,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,5120,70,530,0.45,85,1250000,0.0,95,Exeggutor,125,75,45,grass,psychic,0.0,0
103,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,5120,70,320,1.9,95,1000000,0.4,50,Cubone,40,50,35,ground,none,6.5,0
104,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,5120,70,425,0.75,110,1000000,0.0,60,Marowak,50,80,45,ground,fire,0.0,0
105,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,6400,70,455,0.45,53,1000000,1.5,50,Hitmonlee,35,110,87,fighting,none,49.8,0
106,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,6400,70,455,0.45,79,1000000,1.4,50,Hitmonchan,35,110,76,fighting,none,50.2,0
107,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,5120,70,385,0.45,75,1000000,1.2,90,Lickitung,60,75,30,normal,none,65.5,0
108,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,5120,70,340,1.9,95,1000000,0.6,40,Koffing,60,45,35,poison,none,1.0,0
109,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,5120,70,490,0.6,120,1000000,1.2,65,Weezing,85,70,60,poison,none,9.5,0
110,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,85,5120,70,345,1.2,95,1250000,1.0,80,Rhyhorn,30,30,25,ground,rock,115.0,0
