against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,defense,height_m,hp,name,sp_attack,sp_defense,speed,type1,type2,weight_kg,is_legendary,capture_rate_bin,experience_growth_bin
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,70,195,30,0.3,40,Weedle,20,20,50,bug,poison,3.2,0,2.5+,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,70,205,50,0.6,45,Kakuna,25,25,35,bug,poison,10.0,0,1-1.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,70,495,40,1.0,65,Beedrill,15,80,145,bug,poison,29.5,0,0-0.5,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,70,251,40,0.3,40,Pidgey,35,35,56,normal,flying,1.8,0,2.5+,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,70,349,55,1.1,63,Pidgeotto,50,50,71,normal,flying,30.0,0,1-1.5,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,70,579,80,1.5,83,Pidgeot,135,80,121,normal,flying,39.5,0,0-0.5,Below 1.1M
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,70,253,35,0.0,30,Rattata,25,35,72,normal,dark,0.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,70,413,70,0.0,75,Raticate,40,80,77,normal,dark,0.0,0,1-1.5,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,70,262,30,0.3,40,Spearow,31,31,70,normal,flying,2.0,0,2.5+,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,70,442,65,1.2,65,Fearow,61,61,100,normal,flying,38.0,0,0.5-1,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,70,288,44,2.0,35,Ekans,40,54,55,poison,none,6.9,0,2.5+,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,70,448,69,3.5,60,Arbok,65,79,80,poison,none,65.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,70,320,40,0.4,35,Pikachu,50,50,90,electric,none,6.0,0,1.5-2.0,Below 1.1M
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,70,485,50,0.0,60,Raichu,95,85,110,electric,electric,0.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,70,300,90,0.0,50,Sandshrew,10,35,40,ground,ice,0.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,70,450,120,0.0,75,Sandslash,25,65,65,ground,ice,0.0,0,0.5-1,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,70,275,52,0.4,55,Nidoran♀,40,40,41,poison,none,7.0,0,2.0-2.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,70,365,67,0.8,70,Nidorina,55,55,56,poison,none,20.0,0,1-1.5,Below 1.1M
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,70,505,87,1.3,90,Nidoqueen,75,85,76,poison,ground,60.0,0,0-0.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,70,273,40,0.5,46,Nidoran♂,40,40,50,poison,none,9.0,0,2.0-2.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,70,365,57,0.9,61,Nidorino,55,55,65,poison,none,19.5,0,1-1.5,Below 1.1M
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,70,505,77,1.4,81,Nidoking,85,75,85,poison,ground,62.0,0,0-0.5,Below 1.1M
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,140,323,48,0.6,70,Clefairy,60,65,35,fairy,none,7.5,0,1-1.5,Below 1.1M
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,140,483,73,1.3,95,Clefable,95,90,60,fairy,none,40.0,0,0-0.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,70,299,40,0.0,38,Vulpix,50,65,65,fire,ice,0.0,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,70,505,75,0.0,73,Ninetales,81,100,109,fire,ice,0.0,0,0.5-1,Below 1.1M
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,70,270,20,0.5,115,Jigglypuff,45,25,20,normal,fairy,5.5,0,1.5-2.0,Below 1.1M
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,70,435,45,1.0,140,Wigglytuff,85,50,45,normal,fairy,12.0,0,0-0.5,Below 1.1M
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,70,245,35,0.8,40,Zubat,30,40,55,poison,flying,7.5,0,2.5+,Below 1.1M
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,70,455,70,1.6,75,Golbat,65,75,90,poison,flying,55.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,70,320,55,0.5,45,Oddish,75,65,30,grass,poison,5.4,0,2.5+,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,70,395,70,0.8,60,Gloom,85,75,40,grass,poison,8.6,0,1-1.5,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,70,490,85,1.2,75,Vileplume,110,90,50,grass,poison,18.6,0,0-0.5,Below 1.1M
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,70,285,55,0.3,35,Paras,45,55,25,bug,grass,5.4,0,1.5-2.0,Below 1.1M
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,70,405,80,1.0,60,Parasect,60,80,30,bug,grass,29.5,0,0.5-1,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,70,305,50,1.0,60,Venonat,40,55,45,bug,poison,30.0,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,70,450,60,1.5,70,Venomoth,90,75,90,bug,poison,12.5,0,0.5-1,Below 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,70,265,30,0.0,10,Diglett,35,45,90,ground,ground,0.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,70,425,60,0.0,35,Dugtrio,50,70,110,ground,ground,0.0,0,0-0.5,Below 1.1M
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,70,290,35,0.0,40,Meowth,50,40,90,normal,dark,0.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,70,440,60,0.0,65,Persian,75,65,115,normal,dark,0.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,70,320,48,0.8,50,Psyduck,65,50,55,water,none,19.6,0,1.5-2.0,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,70,500,78,1.7,80,Golduck,95,80,85,water,none,76.6,0,0.5-1,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,70,305,35,0.5,40,Mankey,35,45,70,fighting,none,28.0,0,1.5-2.0,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,70,455,60,1.0,65,Primeape,60,70,95,fighting,none,32.0,0,0.5-1,Below 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,70,350,45,0.7,55,Growlithe,70,50,60,fire,none,19.0,0,1.5-2.0,Above 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,70,555,80,1.9,90,Arcanine,100,80,95,fire,none,155.0,0,0.5-1,Above 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,70,300,40,0.6,40,Poliwag,40,40,90,water,none,12.4,0,2.5+,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,70,385,65,1.0,65,Poliwhirl,50,50,90,water,none,20.0,0,1-1.5,Below 1.1M
0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,70,510,95,1.3,90,Poliwrath,70,90,70,water,fighting,54.0,0,0-0.5,Below 1.1M
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,70,310,15,0.9,25,Abra,105,55,90,psychic,none,19.5,0,1.5-2.0,Below 1.1M
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,70,400,30,1.3,40,Kadabra,120,70,105,psychic,none,56.5,0,0.5-1,Below 1.1M
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,70,600,65,1.5,55,Alakazam,175,105,150,psychic,none,48.0,0,0-0.5,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,70,305,50,0.8,70,Machop,35,35,35,fighting,none,19.5,0,1.5-2.0,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,70,405,70,1.5,80,Machoke,50,60,45,fighting,none,70.5,0,0.5-1,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,70,505,80,1.6,90,Machamp,65,85,55,fighting,none,130.0,0,0-0.5,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,70,300,35,0.7,50,Bellsprout,70,30,40,grass,poison,4.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,70,390,50,1.0,65,Weepinbell,85,45,55,grass,poison,6.4,0,1-1.5,Below 1.1M
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,70,490,65,1.7,80,Victreebel,100,70,70,grass,poison,15.5,0,0-0.5,Below 1.1M
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,70,335,35,0.9,40,Tentacool,50,100,70,water,poison,45.5,0,1.5-2.0,Above 1.1M
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,70,515,65,1.6,80,Tentacruel,80,120,100,water,poison,55.0,0,0.5-1,Above 1.1M
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,70,300,100,0.0,40,Geodude,30,30,20,rock,ground,0.0,0,2.5+,Below 1.1M
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,70,390,115,0.0,55,Graveler,45,45,35,rock,ground,0.0,0,1-1.5,Below 1.1M
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,70,495,130,0.0,80,Golem,55,65,45,rock,ground,0.0,0,0-0.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,70,410,55,1.0,50,Ponyta,65,65,90,fire,none,30.0,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,70,500,70,1.7,65,Rapidash,80,80,105,fire,none,95.0,0,0.5-1,Below 1.1M
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,70,315,65,1.2,90,Slowpoke,40,40,15,water,psychic,36.0,0,1.5-2.0,Below 1.1M
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,70,590,180,1.6,95,Slowbro,130,80,30,water,psychic,78.5,0,0.5-1,Below 1.1M
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,70,325,70,0.3,25,Magnemite,95,55,45,electric,steel,6.0,0,1.5-2.0,Below 1.1M
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,70,465,95,1.0,50,Magneton,120,70,70,electric,steel,60.0,0,0.5-1,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,70,377,55,0.8,52,Farfetch'd,58,62,60,normal,flying,15.0,0,0-0.5,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,70,310,45,1.4,35,Doduo,35,35,75,normal,flying,39.2,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,70,470,70,1.8,60,Dodrio,60,60,110,normal,flying,85.2,0,0-0.5,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,70,325,55,1.1,65,Seel,45,70,45,water,none,90.0,0,1.5-2.0,Below 1.1M
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,70,475,80,1.7,90,Dewgong,70,95,70,water,ice,120.0,0,0.5-1,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,70,325,50,0.0,80,Grimer,40,50,25,poison,poison,0.0,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,70,500,75,0.0,105,Muk,65,100,50,poison,poison,0.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,70,305,100,0.3,30,Shellder,45,25,40,water,none,4.0,0,1.5-2.0,Above 1.1M
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,70,525,180,1.5,50,Cloyster,85,45,70,water,ice,132.5,0,0.5-1,Above 1.1M
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,70,310,30,1.3,30,Gastly,100,35,80,ghost,poison,0.1,0,1.5-2.0,Below 1.1M
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,70,405,45,1.6,45,Haunter,115,55,95,ghost,poison,0.1,0,0.5-1,Below 1.1M
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,70,600,80,1.5,60,Gengar,170,95,130,ghost,poison,40.5,0,0-0.5,Below 1.1M
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,70,385,160,8.8,35,Onix,30,45,70,rock,ground,210.0,0,0-0.5,Below 1.1M
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,70,328,45,1.0,60,Drowzee,43,90,42,psychic,none,32.4,0,1.5-2.0,Below 1.1M
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,70,483,70,1.6,85,Hypno,73,115,67,psychic,none,75.6,0,0.5-1,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,70,325,90,0.4,30,Krabby,25,25,50,water,none,6.5,0,2.0-2.5,Below 1.1M
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,70,475,115,1.3,55,Kingler,50,50,75,water,none,60.0,0,0.5-1,Below 1.1M
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,70,330,50,0.5,40,Voltorb,55,55,100,electric,none,10.4,0,1.5-2.0,Below 1.1M
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,70,490,70,1.2,60,Electrode,80,80,150,electric,none,66.6,0,0.5-1,Below 1.1M
4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,70,325,80,0.4,60,Exeggcute,60,45,40,grass,psychic,2.5,0,0.5-1,Above 1.1M
4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,70,530,85,0.0,95,Exeggutor,125,75,45,grass,psychic,0.0,0,0-0.5,Above 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,70,320,95,0.4,50,Cubone,40,50,35,ground,none,6.5,0,1.5-2.0,Below 1.1M
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,70,425,110,0.0,60,Marowak,50,80,45,ground,fire,0.0,0,0.5-1,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,70,455,53,1.5,50,Hitmonlee,35,110,87,fighting,none,49.8,0,0-0.5,Below 1.1M
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,70,455,79,1.4,50,Hitmonchan,35,110,76,fighting,none,50.2,0,0-0.5,Below 1.1M
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,70,385,75,1.2,90,Lickitung,60,75,30,normal,none,65.5,0,0-0.5,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,70,340,95,0.6,40,Koffing,60,45,35,poison,none,1.0,0,1.5-2.0,Below 1.1M
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,70,490,120,1.2,65,Weezing,85,70,60,poison,none,9.5,0,0.5-1,Below 1.1M
